,Unit_name,v1_name,v2_name,v1_value,v2_value,y_value,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,obj_contri
0,ch1_1_time0,q_out,-,0.0,0,0.0,0,0.1091316992486676,0,0,0,101.46155079625936,0.0
1,ch1_2_time0,q_out,-,849.1,0,1.0,0,0.19554558920737827,0,0,0,58.25460581690402,224.29236561288891
2,ch1_3_time0,q_out,-,0.0,0,0.0,0,0.29246777374483635,0,0,0,-38.66757872055405,0.0
3,ch1_4_time0,q_out,-,0.0,0,0.0,0,0.40167402699813565,0,0,0,-202.47695860050305,0.0
4,ch2_1_time0,q_out,-,0.0,0,0.0,0,0.09832943884683089,0,0,0,397.66906284856896,0.0
5,ch2_2_time0,q_out,-,0.0,0,0.0,0,0.16308339102753358,0,0,0,279.00744547743125,0.0
6,ch2_3_time0,q_out,-,0.0,0,0.0,0,0.2337378067107484,0,0,0,20.059011998449023,0.0
7,ch2_4_time0,q_out,-,0.0,0,0.0,0,0.31103201723166457,0,0,0,-404.86591034028766,0.0
8,ch3_1_time0,q_out,-,0.0,0,0.0,0,0.09832943884683089,0,0,0,397.66906284856896,0.0
9,ch3_2_time0,q_out,-,0.0,0,0.0,0,0.16308339102753358,0,0,0,279.00744547743125,0.0
10,ch3_3_time0,q_out,-,0.0,0,0.0,0,0.2337378067107484,0,0,0,20.059011998449023,0.0
11,ch3_4_time0,q_out,-,0.0,0,0.0,0,0.31103201723166457,0,0,0,-404.86591034028766,0.0
12,ep1_1_time0,m_flow,delp,0.0,2.653597195863801,1.0,0,0.017967538,0,0.259072758,0,0.208225612,0.8957003561535012
13,ep1_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.017967538,0,0.259072758,0,0.208225612,0.0
14,ep1_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.017967538,0,0.259072758,0,0.208225612,0.0
15,ep1_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.017967538,0,0.259072758,0,0.208225612,0.0
16,ep2_1_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
17,ep2_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
18,ep2_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
19,ep2_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
20,ep3_1_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
21,ep3_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
22,ep3_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
23,ep3_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.032272906000000004,0,0.79445631,0,1.518957414,0.0
24,cp1_1_time0,m_flow,delp,0.0,2.6659651708078256,1.0,0,0.06296315799999999,0,0.67219924,0,1.9674907959999999,3.7595505576834904
25,cp1_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.06296315799999999,0,0.67219924,0,1.9674907959999999,0.0
26,cp1_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.06296315799999999,0,0.67219924,0,1.9674907959999999,0.0
27,cp1_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.06296315799999999,0,0.67219924,0,1.9674907959999999,0.0
