Marca temporal;001 - Planta Biomasa Electricidad.AGUA ENTRADA MEGA BIOMASA (m3)
09/12/2015 0:00:00
10/12/2015 0:00:00;569
11/12/2015 0:00:00;231
12/12/2015 0:00:00;226
13/12/2015 0:00:00;248
14/12/2015 0:00:00;141
15/12/2015 0:00:00;237
16/12/2015 0:00:00;243
17/12/2015 0:00:00;240
18/12/2015 0:00:00;220
19/12/2015 0:00:00;240
20/12/2015 0:00:00;255
21/12/2015 0:00:00;282
22/12/2015 0:00:00;259
23/12/2015 0:00:00;209
24/12/2015 0:00:00;245
25/12/2015 0:00:00;271
26/12/2015 0:00:00;304
27/12/2015 0:00:00;293
28/12/2015 0:00:00;238
29/12/2015 0:00:00;211
30/12/2015 0:00:00;242
31/12/2015 0:00:00;247
01/01/2016 0:00:00;234
02/01/2016 0:00:00;143
03/01/2016 0:00:00;0
04/01/2016 0:00:00;0
05/01/2016 0:00:00;0
06/01/2016 0:00:00;6
07/01/2016 0:00:00;254
08/01/2016 0:00:00;251
09/01/2016 0:00:00;279
10/01/2016 0:00:00;279
11/01/2016 0:00:00;186
12/01/2016 0:00:00;99
13/01/2016 0:00:00;185
14/01/2016 0:00:00;205
15/01/2016 0:00:00;234
16/01/2016 0:00:00;207
17/01/2016 0:00:00;192
18/01/2016 0:00:00;185
19/01/2016 0:00:00;200
20/01/2016 0:00:00;218
21/01/2016 0:00:00;235
22/01/2016 0:00:00;191
23/01/2016 0:00:00;241
24/01/2016 0:00:00;266
25/01/2016 0:00:00;258
26/01/2016 0:00:00;255
27/01/2016 0:00:00;282
28/01/2016 0:00:00;240
29/01/2016 0:00:00;245
30/01/2016 0:00:00;249
31/01/2016 0:00:00;280
01/02/2016 0:00:00;288
02/02/2016 0:00:00;269
03/02/2016 0:00:00;271
04/02/2016 0:00:00;285
05/02/2016 0:00:00;217
06/02/2016 0:00:00;169
07/02/2016 0:00:00;27
08/02/2016 0:00:00;13
09/02/2016 0:00:00;73
10/02/2016 0:00:00;293
11/02/2016 0:00:00;296
12/02/2016 0:00:00;293
13/02/2016 0:00:00;294
14/02/2016 0:00:00;314
15/02/2016 0:00:00;288
16/02/2016 0:00:00;276
17/02/2016 0:00:00;167
18/02/2016 0:00:00;195
19/02/2016 0:00:00;200
20/02/2016 0:00:00;200
21/02/2016 0:00:00;234
22/02/2016 0:00:00;298
23/02/2016 0:00:00;262
24/02/2016 0:00:00
25/02/2016 0:00:00
26/02/2016 0:00:00
27/02/2016 0:00:00
28/02/2016 0:00:00
29/02/2016 0:00:00
01/03/2016 0:00:00
02/03/2016 0:00:00
03/03/2016 0:00:00
04/03/2016 0:00:00
05/03/2016 0:00:00
06/03/2016 0:00:00
07/03/2016 0:00:00
08/03/2016 0:00:00
09/03/2016 0:00:00
10/03/2016 0:00:00
11/03/2016 0:00:00
12/03/2016 0:00:00
13/03/2016 0:00:00
14/03/2016 0:00:00
15/03/2016 0:00:00
16/03/2016 0:00:00
17/03/2016 0:00:00
18/03/2016 0:00:00
19/03/2016 0:00:00
20/03/2016 0:00:00
21/03/2016 0:00:00
22/03/2016 0:00:00
23/03/2016 0:00:00
24/03/2016 0:00:00
25/03/2016 0:00:00
26/03/2016 0:00:00
27/03/2016 0:00:00
28/03/2016 0:00:00
29/03/2016 0:00:00
30/03/2016 0:00:00
31/03/2016 0:00:00
01/04/2016 0:00:00
02/04/2016 0:00:00
03/04/2016 0:00:00
04/04/2016 0:00:00
05/04/2016 0:00:00
06/04/2016 0:00:00
07/04/2016 0:00:00
08/04/2016 0:00:00
09/04/2016 0:00:00
10/04/2016 0:00:00
11/04/2016 0:00:00
12/04/2016 0:00:00
13/04/2016 0:00:00
14/04/2016 0:00:00
15/04/2016 0:00:00
16/04/2016 0:00:00
17/04/2016 0:00:00
18/04/2016 0:00:00
19/04/2016 0:00:00
20/04/2016 0:00:00
21/04/2016 0:00:00
22/04/2016 0:00:00
23/04/2016 0:00:00
24/04/2016 0:00:00
25/04/2016 0:00:00
26/04/2016 0:00:00
27/04/2016 0:00:00
28/04/2016 0:00:00
29/04/2016 0:00:00
30/04/2016 0:00:00
01/05/2016 0:00:00
02/05/2016 0:00:00
03/05/2016 0:00:00
04/05/2016 0:00:00
05/05/2016 0:00:00
06/05/2016 0:00:00
07/05/2016 0:00:00
08/05/2016 0:00:00
09/05/2016 0:00:00
10/05/2016 0:00:00
11/05/2016 0:00:00
12/05/2016 0:00:00
13/05/2016 0:00:00
14/05/2016 0:00:00
15/05/2016 0:00:00
16/05/2016 0:00:00
17/05/2016 0:00:00
18/05/2016 0:00:00
19/05/2016 0:00:00
20/05/2016 0:00:00
21/05/2016 0:00:00
22/05/2016 0:00:00
23/05/2016 0:00:00
24/05/2016 0:00:00
25/05/2016 0:00:00
26/05/2016 0:00:00
27/05/2016 0:00:00
28/05/2016 0:00:00
29/05/2016 0:00:00
30/05/2016 0:00:00
31/05/2016 0:00:00
01/06/2016 0:00:00
02/06/2016 0:00:00
03/06/2016 0:00:00
04/06/2016 0:00:00
05/06/2016 0:00:00
06/06/2016 0:00:00
07/06/2016 0:00:00
08/06/2016 0:00:00
09/06/2016 0:00:00
10/06/2016 0:00:00
11/06/2016 0:00:00
12/06/2016 0:00:00
13/06/2016 0:00:00
14/06/2016 0:00:00
15/06/2016 0:00:00
16/06/2016 0:00:00
17/06/2016 0:00:00
18/06/2016 0:00:00
19/06/2016 0:00:00
20/06/2016 0:00:00
21/06/2016 0:00:00
22/06/2016 0:00:00
23/06/2016 0:00:00
24/06/2016 0:00:00
25/06/2016 0:00:00
26/06/2016 0:00:00
27/06/2016 0:00:00
28/06/2016 0:00:00
29/06/2016 0:00:00
30/06/2016 0:00:00
01/07/2016 0:00:00
02/07/2016 0:00:00
03/07/2016 0:00:00
04/07/2016 0:00:00
05/07/2016 0:00:00
06/07/2016 0:00:00
07/07/2016 0:00:00
08/07/2016 0:00:00
09/07/2016 0:00:00
10/07/2016 0:00:00
11/07/2016 0:00:00
12/07/2016 0:00:00
13/07/2016 0:00:00
14/07/2016 0:00:00
15/07/2016 0:00:00
16/07/2016 0:00:00
17/07/2016 0:00:00
18/07/2016 0:00:00
19/07/2016 0:00:00
20/07/2016 0:00:00
21/07/2016 0:00:00
22/07/2016 0:00:00
23/07/2016 0:00:00
24/07/2016 0:00:00
25/07/2016 0:00:00
26/07/2016 0:00:00
27/07/2016 0:00:00
28/07/2016 0:00:00
29/07/2016 0:00:00
30/07/2016 0:00:00
31/07/2016 0:00:00
01/08/2016 0:00:00
02/08/2016 0:00:00
03/08/2016 0:00:00
04/08/2016 0:00:00
05/08/2016 0:00:00
06/08/2016 0:00:00
07/08/2016 0:00:00
08/08/2016 0:00:00
09/08/2016 0:00:00
10/08/2016 0:00:00
11/08/2016 0:00:00
12/08/2016 0:00:00
13/08/2016 0:00:00
14/08/2016 0:00:00
15/08/2016 0:00:00
16/08/2016 0:00:00
17/08/2016 0:00:00
18/08/2016 0:00:00
19/08/2016 0:00:00
20/08/2016 0:00:00
21/08/2016 0:00:00
22/08/2016 0:00:00
23/08/2016 0:00:00
24/08/2016 0:00:00
25/08/2016 0:00:00
26/08/2016 0:00:00
27/08/2016 0:00:00
28/08/2016 0:00:00
29/08/2016 0:00:00
30/08/2016 0:00:00
31/08/2016 0:00:00
01/09/2016 0:00:00
02/09/2016 0:00:00
03/09/2016 0:00:00
04/09/2016 0:00:00
05/09/2016 0:00:00
06/09/2016 0:00:00
07/09/2016 0:00:00
08/09/2016 0:00:00
09/09/2016 0:00:00
10/09/2016 0:00:00
11/09/2016 0:00:00
12/09/2016 0:00:00
13/09/2016 0:00:00
14/09/2016 0:00:00
15/09/2016 0:00:00
16/09/2016 0:00:00
17/09/2016 0:00:00
18/09/2016 0:00:00
19/09/2016 0:00:00
20/09/2016 0:00:00
21/09/2016 0:00:00
22/09/2016 0:00:00
23/09/2016 0:00:00
24/09/2016 0:00:00
25/09/2016 0:00:00
26/09/2016 0:00:00
27/09/2016 0:00:00
