,Name,Unit,Value_0,Value_1,Value_2,Value_3
0,chiller1_wet_bulb_temp,deg C,22.47434912,22.47434912,22.47434912,22.07528905
1,chiller1_steps,-,1.0,1.0,1.0,1.0
2,chiller1_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
3,chiller2_wet_bulb_temp,deg C,22.47434912,22.47434912,22.47434912,22.07528905
4,chiller2_steps,-,1.0,1.0,1.0,1.0
5,chiller2_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
6,chiller3_wet_bulb_temp,deg C,22.47434912,22.47434912,22.47434912,22.07528905
7,chiller3_steps,-,1.0,1.0,1.0,1.0
8,chiller3_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
9,combined_substation_gv2_demand,kWh,499.1,499.1,104.3988991,16.4840367
10,combined_substation_hsb_demand,kWh,300.0,300.0,200.0,300.0
11,combined_substation_pfa_demand,kWh,50.0,60.0,50.0,50.0
12,combined_substation_ser_demand,kWh,0.0,0.0,0.0,0.0
13,cond_nwk_steps,-,1.0,1.0,1.0,1.0
14,cond_pump1_steps,-,1.0,1.0,1.0,1.0
15,cond_pump1_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
16,cond_pump2_steps,-,1.0,1.0,1.0,1.0
17,cond_pump2_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
18,cond_pump3_steps,-,1.0,1.0,1.0,1.0
19,cond_pump3_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
20,cooling_towers_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
21,dist_nwk_pump_steps,-,1.0,1.0,1.0,1.0
22,dist_nwk_pump_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
23,evap_nwk_steps,-,1.0,1.0,1.0,1.0
24,evap_pump1_steps,-,1.0,1.0,1.0,1.0
25,evap_pump1_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
26,evap_pump2_steps,-,1.0,1.0,1.0,1.0
27,evap_pump2_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
28,evap_pump3_steps,-,1.0,1.0,1.0,1.0
29,evap_pump3_time_dependent_elect_tariff,euro/kWh,0.41801499999999997,0.063959,0.063959,0.063959
